,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Brooklyn,Private room,149,1,9,0.21,6,365
1,Manhattan,Entire home/apt,225,1,45,0.38,2,355
2,Manhattan,Private room,150,3,0,0.0,1,365
3,Brooklyn,Entire home/apt,89,1,270,4.64,1,194
4,Manhattan,Entire home/apt,80,10,9,0.1,1,0
5,Manhattan,Entire home/apt,200,3,74,0.59,1,129
6,Brooklyn,Private room,60,10,49,0.4,1,0
7,Manhattan,Private room,79,2,430,3.47,1,220
8,Manhattan,Private room,79,2,118,0.99,1,0
9,Manhattan,Entire home/apt,150,1,160,1.33,4,188
10,Manhattan,Entire home/apt,135,5,53,0.43,1,6
11,Manhattan,Private room,85,2,188,1.5,1,39
12,Brooklyn,Private room,89,4,167,1.34,3,314
13,Manhattan,Private room,85,2,113,0.91,1,333
14,Manhattan,Entire home/apt,120,10,27,0.22,1,0
15,Brooklyn,Entire home/apt,140,2,148,1.2,1,46
16,Brooklyn,Entire home/apt,215,2,198,1.72,1,321
17,Manhattan,Private room,140,1,260,2.12,1,12
18,Brooklyn,Entire home/apt,99,3,53,4.44,1,21
19,Manhattan,Entire home/apt,190,7,0,0.0,2,249
21,Brooklyn,Private room,130,2,130,1.09,6,347
22,Brooklyn,Private room,80,1,39,0.37,6,364
23,Brooklyn,Private room,110,2,71,0.61,6,304
24,Brooklyn,Entire home/apt,120,2,88,0.73,2,233
25,Brooklyn,Private room,60,1,19,1.37,2,85
26,Manhattan,Private room,80,4,0,0.0,1,0
27,Manhattan,Entire home/apt,150,10,58,0.49,1,75
28,Manhattan,Private room,44,3,108,1.11,3,311
29,Manhattan,Entire home/apt,180,10,29,0.24,1,67
30,Manhattan,Private room,50,3,242,2.04,3,355
31,Manhattan,Private room,52,2,88,1.42,1,255
32,Brooklyn,Private room,55,4,197,1.65,3,284
33,Manhattan,Private room,50,3,273,2.37,3,359
34,Brooklyn,Private room,70,1,74,0.66,2,269
35,Brooklyn,Private room,89,4,168,1.41,3,340
36,Brooklyn,Private room,35,10,0,0.0,1,365
37,Brooklyn,Entire home/apt,85,2,231,1.96,2,22
38,Brooklyn,Private room,150,1,0,0.0,1,365
39,Manhattan,Shared room,40,1,214,1.81,4,188
40,Manhattan,Private room,68,2,245,2.08,2,96
41,Brooklyn,Entire home/apt,120,3,15,0.39,1,345
42,Brooklyn,Private room,120,7,25,0.23,1,311
43,Manhattan,Private room,135,4,81,0.69,1,273
44,Manhattan,Entire home/apt,150,7,97,0.84,1,309
45,Brooklyn,Entire home/apt,150,10,11,0.49,1,95
46,Queens,Private room,130,3,248,2.25,1,215
47,Brooklyn,Entire home/apt,110,7,61,0.52,1,265
48,Brooklyn,Entire home/apt,115,3,11,0.1,1,0
49,Brooklyn,Private room,80,3,135,1.16,2,192
50,Brooklyn,Private room,80,1,112,1.01,3,251
51,Manhattan,Entire home/apt,151,2,73,0.63,1,302
52,Brooklyn,Entire home/apt,228,3,82,0.7,1,140
53,Brooklyn,Entire home/apt,144,2,328,2.82,1,234
54,Manhattan,Entire home/apt,200,7,19,0.22,1,257
55,Brooklyn,Entire home/apt,150,10,105,0.9,1,30
56,Manhattan,Private room,110,5,19,0.17,1,301
57,Manhattan,Private room,69,2,289,2.49,2,294
58,Brooklyn,Private room,49,4,138,1.19,3,320
59,Manhattan,Entire home/apt,180,10,21,0.3,1,154
60,Brooklyn,Private room,80,2,42,0.38,1,263
63,Brooklyn,Entire home/apt,200,10,143,1.33,2,297
64,Brooklyn,Private room,55,7,27,0.23,2,292
65,Manhattan,Private room,52,10,191,1.65,1,191
66,Brooklyn,Entire home/apt,225,3,4,0.16,1,0
67,Manhattan,Private room,80,1,338,4.72,2,72
69,Manhattan,Private room,99,1,106,1.26,2,336
70,Manhattan,Entire home/apt,225,4,190,1.64,1,215
71,Manhattan,Entire home/apt,230,9,49,0.43,1,116
72,Manhattan,Private room,51,7,23,0.43,1,88
73,Manhattan,Private room,65,2,49,1.6,2,336
74,Brooklyn,Private room,105,2,105,0.92,1,304
75,Manhattan,Entire home/apt,190,5,21,0.2,1,224
76,Manhattan,Private room,200,1,142,1.5,1,322
77,Queens,Private room,70,10,25,0.22,1,324
78,Brooklyn,Private room,95,3,143,1.28,1,132
79,Manhattan,Private room,150,3,167,1.65,1,295
80,Brooklyn,Private room,145,3,61,0.54,4,238
81,Manhattan,Entire home/apt,110,10,54,0.49,1,209
83,Brooklyn,Entire home/apt,130,6,16,0.15,1,38
84,Manhattan,Private room,94,10,94,0.84,1,188
86,Brooklyn,Entire home/apt,105,3,61,0.53,1,272
87,Manhattan,Private room,60,3,194,1.73,1,26
88,Manhattan,Private room,50,1,2,0.05,1,0
89,Brooklyn,Private room,85,3,174,1.54,4,288
90,Brooklyn,Private room,65,4,24,0.28,1,317
91,Brooklyn,Entire home/apt,131,4,166,3.4,1,207
92,Brooklyn,Private room,98,7,16,0.2,6,185
94,Brooklyn,Entire home/apt,100,5,168,1.57,1,0
95,Brooklyn,Entire home/apt,105,3,118,1.05,2,9
96,Manhattan,Entire home/apt,140,3,81,0.71,1,198
97,Manhattan,Private room,89,1,1,0.11,1,365
98,Manhattan,Private room,98,10,30,0.27,2,364
99,Brooklyn,Entire home/apt,125,7,139,1.23,2,311
100,Manhattan,Private room,60,3,11,0.87,3,219
101,Brooklyn,Entire home/apt,175,2,233,2.09,3,342
102,Manhattan,Private room,65,2,68,0.6,1,312
104,Brooklyn,Private room,101,3,335,3.02,1,152
105,Brooklyn,Entire home/apt,220,10,88,0.79,1,9
106,Brooklyn,Entire home/apt,125,10,162,1.46,2,137
107,Brooklyn,Entire home/apt,80,10,29,0.4,1,222
108,Manhattan,Private room,100,2,170,1.61,1,346
109,Brooklyn,Entire home/apt,200,10,19,0.2,1,208
110,Manhattan,Private room,59,2,334,3.0,2,279
111,Brooklyn,Private room,125,2,19,0.2,6,250
112,Manhattan,Entire home/apt,140,7,12,0.13,1,164
113,Brooklyn,Entire home/apt,120,10,467,4.22,2,192
115,Manhattan,Entire home/apt,199,5,38,0.38,1,260
117,Manhattan,Entire home/apt,235,6,27,0.27,1,199
118,Manhattan,Entire home/apt,225,1,115,1.05,4,299
119,Brooklyn,Private room,99,2,354,3.2,3,20
120,Manhattan,Entire home/apt,170,2,195,2.03,1,318
122,Manhattan,Entire home/apt,170,7,13,0.12,1,224
123,Manhattan,Entire home/apt,100,4,25,0.23,1,0
124,Brooklyn,Private room,75,2,9,0.08,1,324
125,Brooklyn,Private room,90,1,9,0.08,1,245
126,Manhattan,Entire home/apt,150,5,21,0.19,1,189
127,Manhattan,Private room,85,10,36,0.33,1,307
128,Brooklyn,Private room,70,3,63,0.58,2,310
129,Manhattan,Entire home/apt,120,3,155,1.42,3,213
130,Brooklyn,Private room,89,3,260,2.35,1,278
131,Manhattan,Entire home/apt,185,5,73,0.66,1,209
132,Brooklyn,Private room,50,3,193,1.86,1,0
133,Manhattan,Entire home/apt,105,3,32,0.29,1,16
134,Manhattan,Private room,130,2,50,0.45,3,234
135,Manhattan,Entire home/apt,115,10,26,0.25,1,12
136,Brooklyn,Private room,77,2,2,0.02,1,178
137,Brooklyn,Private room,76,2,426,3.89,3,275
138,Brooklyn,Entire home/apt,125,3,227,2.09,2,163
139,Brooklyn,Private room,135,4,84,0.77,3,365
141,Brooklyn,Entire home/apt,199,3,10,0.1,1,280
142,Brooklyn,Entire home/apt,140,2,4,0.04,1,0
143,Queens,Private room,140,2,1,0.01,1,1
144,Brooklyn,Entire home/apt,115,3,124,1.72,2,170
145,Brooklyn,Entire home/apt,160,3,11,0.11,1,188
146,Brooklyn,Entire home/apt,195,4,240,2.19,1,214
147,Manhattan,Entire home/apt,195,3,30,0.28,1,248
148,Brooklyn,Private room,80,3,200,1.86,4,262
149,Brooklyn,Private room,44,8,27,1.05,5,280
150,Manhattan,Private room,156,4,79,0.74,1,307
151,Brooklyn,Private room,85,10,9,0.09,1,339
152,Brooklyn,Private room,125,3,155,1.61,1,1
153,Brooklyn,Entire home/apt,115,10,4,0.05,1,269
154,Manhattan,Private room,69,2,34,0.32,1,10
155,Manhattan,Entire home/apt,225,10,134,1.24,1,312
156,Brooklyn,Entire home/apt,125,6,27,0.25,1,189
157,Manhattan,Entire home/apt,219,4,126,1.16,2,290
159,Manhattan,Entire home/apt,99,1,234,2.6,2,164
160,Brooklyn,Private room,69,4,202,1.86,2,53
161,Queens,Private room,79,10,28,0.26,1,126
162,Brooklyn,Entire home/apt,135,2,309,2.86,2,3
166,Manhattan,Entire home/apt,80,3,2,0.04,1,0
167,Brooklyn,Private room,70,2,294,3.47,3,336
168,Brooklyn,Entire home/apt,165,2,150,1.4,3,342
169,Staten Island,Private room,70,2,166,1.66,1,312
170,Brooklyn,Private room,50,2,47,0.94,1,37
171,Bronx,Private room,40,1,219,2.04,3,353
172,Brooklyn,Entire home/apt,150,2,193,1.78,1,177
173,Manhattan,Private room,125,1,84,0.78,4,310
174,Manhattan,Entire home/apt,196,3,114,1.06,1,0
175,Brooklyn,Private room,110,2,213,2.0,2,321
176,Manhattan,Entire home/apt,170,3,86,0.8,1,246
177,Manhattan,Entire home/apt,165,3,80,0.75,3,231
178,Manhattan,Entire home/apt,150,10,38,0.36,1,225
179,Manhattan,Entire home/apt,100,2,18,1.79,1,0
180,Brooklyn,Private room,65,2,206,1.92,2,0
182,Manhattan,Private room,99,4,122,1.18,2,233
183,Brooklyn,Entire home/apt,200,4,33,0.58,1,1
184,Brooklyn,Entire home/apt,150,5,52,0.5,1,18
185,Brooklyn,Private room,90,3,126,1.17,4,343
186,Brooklyn,Private room,120,3,51,0.48,3,250
187,Manhattan,Private room,75,3,199,1.85,1,326
188,Brooklyn,Entire home/apt,175,10,30,0.29,1,364
189,Manhattan,Entire home/apt,125,3,3,0.03,1,0
192,Brooklyn,Entire home/apt,135,5,151,1.43,3,162
193,Manhattan,Private room,130,10,0,0.0,2,0
194,Manhattan,Private room,83,1,285,2.69,1,7
195,Manhattan,Private room,123,1,375,3.52,1,328
196,Queens,Private room,55,2,52,0.49,2,365
197,Manhattan,Entire home/apt,195,5,10,1.01,1,0
198,Brooklyn,Private room,80,2,11,0.48,1,0
199,Queens,Entire home/apt,98,10,33,0.31,5,240
200,Queens,Private room,140,7,6,0.06,5,365
202,Brooklyn,Entire home/apt,249,2,358,3.44,2,164
203,Manhattan,Shared room,105,6,10,0.09,1,363
204,Manhattan,Private room,200,10,0,0.0,1,365
205,Brooklyn,Private room,100,2,226,2.12,3,250
206,Manhattan,Entire home/apt,121,1,104,1.0,5,247
207,Bronx,Private room,45,1,138,1.45,3,323
208,Manhattan,Private room,100,5,204,1.92,1,192
209,Brooklyn,Entire home/apt,140,2,253,3.04,1,125
210,Brooklyn,Private room,71,2,23,0.22,1,91
211,Manhattan,Private room,130,2,115,1.17,1,75
212,Manhattan,Entire home/apt,199,5,129,1.22,1,286
213,Brooklyn,Private room,69,4,82,1.13,2,60
214,Brooklyn,Private room,68,3,37,0.35,1,0
215,Manhattan,Entire home/apt,130,1,204,2.04,1,192
216,Brooklyn,Entire home/apt,195,2,69,0.65,1,58
217,Manhattan,Private room,64,1,192,1.84,5,245
218,Queens,Entire home/apt,140,2,17,0.16,1,292
219,Brooklyn,Entire home/apt,159,2,222,2.12,1,279
220,Manhattan,Entire home/apt,189,3,205,1.96,1,0
222,Manhattan,Entire home/apt,239,3,7,0.07,1,351
224,Manhattan,Entire home/apt,155,3,222,2.1,2,232
225,Manhattan,Private room,60,1,458,4.58,2,258
226,Brooklyn,Private room,135,2,21,0.26,1,272
227,Manhattan,Private room,120,7,17,0.3,1,341
228,Manhattan,Entire home/apt,150,3,41,0.39,1,244
229,Queens,Entire home/apt,140,10,1,0.01,5,365
230,Brooklyn,Entire home/apt,135,2,69,0.67,1,12
234,Manhattan,Entire home/apt,225,5,10,0.1,1,91
